Plano manut.,CenTrab respon.,Texto item man.,Loc.instalação,Data planejada,Dta.iníc.progr.,Data encermto.,Última ordem,Ordem,Tipo de ordem
TIJADTCH004A,TSEIJPM,Teste operativo (IJA) CH-1K6,MT-S-40313-DL01-CH-1K6,14/1/2025,14/1/2025,,2200236180,2200236180,TDET
TMCLDTCH067A,TNTMCPM,Teste operativo (MCL) CH-5PT5,MT-S-41209-FT05-CH-5PT5,16/1/2025,16/1/2025,,2200236213,2200236213,TDET
TMCLDTCH065A,TNTMCPM,Teste operativo (MCL) CH-5P3,MT-S-41209-FT04-CH-5P3,16/1/2025,16/1/2025,,2200236211,2200236211,TDET
TMCLDTCH066A,TNTMCPM,Teste operativo (MCL) CH-5P5,MT-S-41209-FT04-CH-5P5,16/1/2025,16/1/2025,,2200236212,2200236212,TDET
TMCLDTCH047A,TNTMCPM,Teste operativo (MCL) CH-6P3,MT-S-41209-FT05-CH-6P3,16/1/2025,16/1/2025,,2200236208,2200236208,TDET
TMCLDTCH048A,TNTMCPM,Teste operativo (MCL) CH-6P5,MT-S-41209-FT05-CH-6P5,16/1/2025,16/1/2025,,2200236209,2200236209,TDET
TUEMDTDJ020A,TTAEMPM,Teste operativo (UEM) DJ-12U4,MT-S-41103-FL12-DJ-12U4,17/1/2025,3/2/2025,,2200248946,2200248946,TDET
TORPDTCH042A,TSEOPPM,Teste operativo (ORP) CH-2P8,MT-S-42507-FL02-CH-2P8_8T,21/1/2025,21/1/2025,,2200236789,2200236789,TDET
TITDDTCH001A,TSEOPPM,Teste operativo (ITD) CH-8112,MT-S-70179-FL04-CH-8112,21/1/2025,21/1/2025,,2200236756,2200236756,TDET
TITDDTCH002A,TSEOPPM,Teste operativo (ITD) CH-8114_4T,MT-S-70179-FL04-CH-8114_4T,21/1/2025,21/1/2025,,2200236757,2200236757,TDET
TITDDTCH003A,TSEOPPM,Teste operativo (ITD) CH-8115,MT-S-70179-FL04-CH-8115,21/1/2025,21/1/2025,,2200236758,2200236758,TDET
TORPDTCH070A,TSEOPPM,Teste operativo (ORP) CH-4F8,MT-S-42507-FE01-CH-4F8,21/1/2025,21/1/2025,,2200236790,2200236790,TDET
TORPDTCH071A,TSEOPPM,Teste operativo (ORP) CH-5FT3,MT-S-42507-FT03-CH-5FT3,21/1/2025,21/1/2025,,2200236791,2200236791,TDET
TORPDTCH072A,TSEOPPM,Teste operativo (ORP) CH-5FT4,MT-S-42507-FT04-CH-5FT4,21/1/2025,21/1/2025,,2200236792,2200236792,TDET
TORPDTCH074A,TSEOPPM,Teste operativo (ORP) CH-2FS2,MT-S-42507-FE01-CH-2FS2,21/1/2025,21/1/2025,,2200236793,2200236793,TDET
TUBGDTDJ002A,TLEGVPM,Teste operativo (UBG) DJ-10M4,MT-S-72183-FL10-DJ-10M4,22/1/2025,22/1/2025,,2200249370,2200249370,TDET
TIJADTCH007A,TSEIJPM,Teste operativo (IJA) CH-3K5_5T,MT-S-40313-DL03-CH-3K5_5T,27/1/2025,27/1/2025,,2200237019,2200237019,TDET
TCSNDTRL006A,TLEGVPM,Teste operativo (CSN) RL-10F4,MT-S-74102-DD10-RL-10F4,1/2/2025,3/2/2025,,2200250042,2200250042,TDET
TGVSDTDJ022A,TLEGVPM,Teste operativo (GVS) DJ-7J4,MT-S-43604-DM57-DJ-7J4,2/2/2025,3/2/2025,,2200250079,2200250079,TDET
TUJGDTDJ011A,TTAJGPM,Teste operativo (UJG) DJ-7U4,MT-S-41101-FL07-DJ-7U4,2/2/2025,3/2/2025,,2200250141,2200250141,TDET
TGVDDTDJ000A,TLEGVPM,Teste operativo (GVD) DJ-1J4,MT-S-43604-DT12-DJ-1J4,2/2/2025,3/2/2025,,2200250078,2200250078,TDET
TUJGDTDJ013A,TTAJGPM,Teste Operativo (UJG) DJ-8U4,MT-S-41101-FM08-DJ-8U4,2/2/2025,3/2/2025,,2200250142,2200250142,TDET
TUEMDTGM001A,TTAEMPM,Teste operativo (UEM) GM-1,MT-S-41103-INCA-GM-1,2/2/2025,3/2/2025,,2200264858,2200264858,TDET
TUJGDTGM001A,TTAJGPM,Teste operativo (UJG) GM-1,MT-S-41101-INCA-GM-1,2/2/2025,3/2/2025,,2200264941,2200264941,TDET
TJMQDTDJ000A,TLEIBPM,Teste operativo (JMQ) DJ-4M4,MT-S-70148-FL04-DJ-4M4,6/2/2025,6/2/2025,,2200250394,2200250394,TDET
TORPDTCH043A,TSEOPPM,Teste operativo (ORP) CH-3P3,MT-S-42507-FL02-CH-3P3,7/2/2025,7/2/2025,,2200237925,2200237925,TDET
TGVSDTDJ019A,TLEGVPM,Teste operativo (GVS) DJ-3J4,MT-S-43604-DL53-DJ-3J4,7/2/2025,7/2/2025,,2200250440,2200250440,TDET
TTQLDTGM001A,TCNTQPM,Teste operativo (TQL) GM-1,MT-S-41202-INCA-GM-1,8/2/2025,10/2/2025,,2200265073,2200265073,TDET
TIJADTCH011A,TSEIJPM,Teste operativo (IJA) CH-5K5_5T,MT-S-40313-DL05-CH-5K5_5T,9/2/2025,10/2/2025,,2200238155,2200238155,TDET
TIJADTCH019A,TSEIJPM,Teste operativo (IJA) CH-7K5_5T,MT-S-40313-DL07-CH-7K5_5T,9/2/2025,10/2/2025,,2200238156,2200238156,TDET
TSGTDTGM001A,TTASGPM,Teste operativo (SGT) GM-1,MT-S-41105-INCA-GM-1,9/2/2025,10/2/2025,,2200264789,2200264789,TDET
TGVSDTDJ033A,TLEGVPM,Teste operativo (GVS) DJ-11K4,MT-S-43604-FT03-DJ-11K4,10/2/2025,10/2/2025,,2200250595,2200250595,TDET
TJCBDTGM001A,TSECNPM,Teste operativo (JCB) GM-1,MT-S-70157-INCA-GM-1,10/2/2025,10/2/2025,,2200265739,2200265739,TDET
TCNLDTGM000A,TSECNPM,Teste operativo (CNL) GM-01,MT-S-42605-INCA-GM-01,12/2/2025,12/2/2025,,2200264950,2200264950,TDET
TIBQDTGM001A,TLEIBPM,Teste operativo (IBQ) GM-1,MT-S-70177-INCA-GM-1,12/2/2025,12/2/2025,,2200265249,2200265249,TDET
TBCADTDJ008A,TSEBAPM,Teste operativo (BCA) DJ-214F4,MT-S-41205-DT03-DJ-214F4,13/2/2025,13/2/2025,,2200250869,2200250869,TDET
TJFADTDJ013A,TSEJFPM,Teste operativo (JFA) DJ-4K4,MT-S-71113-DL04-DJ-4K4,13/2/2025,13/2/2025,,2200250906,2200250906,TDET
TUBGDTGM001A,TLEGVPM,Teste operativo (UBG) GM-1,MT-S-72183-INCA-GM-1,13/2/2025,13/2/2025,,2200263424,2200263424,TDET
TMCLDTDJ023A,TNTMCPM,Teste operativo (MCL) DJ-6P4,MT-S-41209-FT05-DJ-6P4,14/2/2025,14/2/2025,,2200251017,2200251017,TDET
TMCLDTDJ016A,TNTMCPM,Teste operativo (MCL) DJ-206F4,MT-S-41209-DT01-DJ-206F4,14/2/2025,14/2/2025,,2200251016,2200251016,TDET
TSBADTGM001A,TCNTQPM,Teste operativo (SBA) GM-1,MT-S-40163-INCA-GM-1,14/2/2025,14/2/2025,,2200264681,2200264681,TDET
TUTMDTCH032A,TNTTMPM,Teste operativo (UTM) CH-13P5,MT-S-41211-FL13-CH-13P5,15/2/2025,17/2/2025,,2200238685,2200238685,TDET
TUTMDTCH031A,TNTTMPM,Teste operativo (UTM) CH-13P3,MT-S-41211-FL13-CH-13P3,15/2/2025,17/2/2025,,2200238684,2200238684,TDET
TTQLDTCH063A,TCNTQPM,Teste operativo (TQL) CH-7M1,MT-S-41202-FL57-CH-7M1,15/2/2025,17/2/2025,,2200238677,2200238677,TDET
TTQLDTCH064A,TCNTQPM,Teste operativo (TQL) CH-7M5,MT-S-41202-FL57-CH-7M5,15/2/2025,17/2/2025,,2200238678,2200238678,TDET
TTQLDTCH065A,TCNTQPM,Teste operativo (TQL) CH-7M6_6T,MT-S-41202-FL57-CH-7M6_6T,15/2/2025,17/2/2025,,2200238679,2200238679,TDET
TPMNDTDJ004A,TCNPMPM,Teste operativo (PMN) DJ-11K4,MT-S-41201-DM11-DJ-11K4,15/2/2025,17/2/2025,,2200251187,2200251187,TDET
TUEMDTCH054A,TTAEMPM,Teste operativo (UEM) CH-7U3,MT-S-41103-DG02-CH-7U3,16/2/2025,25/2/2025,,2200238815,2200238815,TDET
TUEMDTCH055A,TTAEMPM,Teste operativo (UEM) CH-7U5,MT-S-41103-DG02-CH-7U5,16/2/2025,25/2/2025,,2200238816,2200238816,TDET
TGVSDTDJ027A,TLEGVPM,Teste operativo (GVS) DJ-1M4,MT-S-43604-FL01-DJ-1M4,16/2/2025,17/2/2025,,2200251203,2200251203,TDET
TCNLDTCH034A,TSECNPM,Teste operativo (CNL) CH-1KT5,MT-S-42605-DT05-CH-1KT5,18/2/2025,18/2/2025,,2200238944,2200238944,TDET
TIUGDTCH004A,TSEBAPM,Teste operativo (IUG) CH-4K6,MT-S-41207-DL04-CH-4K6,18/2/2025,18/2/2025,,2200238953,2200238953,TDET
TIUGDTCH002A,TSEBAPM,Teste operativo (IUG) CH-4K2,MT-S-41207-DL04-CH-4K2,18/2/2025,18/2/2025,,2200238952,2200238952,TDET
TCNLDTCH030A,TSECNPM,Teste operativo (CNL) CH-1K5,MT-S-42605-DT01-CH-1K5,18/2/2025,18/2/2025,,2200238942,2200238942,TDET
TCNLDTCH029A,TSECNPM,Teste operativo (CNL) CH-1K3,MT-S-42605-DT01-CH-1K3,18/2/2025,18/2/2025,,2200238941,2200238941,TDET
TCNLDTCH009A,TSECNPM,Teste operativo (CNL) CH-4K6,MT-S-42605-DL04-CH-4K6,18/2/2025,18/2/2025,,2200238893,2200238893,TDET
TCNLDTCH005A,TSECNPM,Teste operativo (CNL) CH-2K5_5T,MT-S-42605-DL02-CH-2K5_5T,18/2/2025,18/2/2025,,2200238892,2200238892,TDET
TCNLDTCH031A,TSECNPM,Teste operativo (CNL) CH-1K6,MT-S-42605-DT01-CH-1K6,18/2/2025,18/2/2025,,2200238943,2200238943,TDET
TCNLDTCH012A,TSECNPM,Teste operativo (CNL) CH-5K6,MT-S-42605-DL05-CH-5K6,18/2/2025,18/2/2025,,2200238894,2200238894,TDET
TCNLDTCH019A,TSECNPM,Teste operativo (CNL) CH-11K3,MT-S-42605-DL11-CH-11K3,18/2/2025,18/2/2025,,2200238895,2200238895,TDET
TCNLDTCH020A,TSECNPM,Teste operativo (CNL) CH-11K5_5T,MT-S-42605-DL11-CH-11K5_5T,18/2/2025,18/2/2025,,2200238896,2200238896,TDET
TCNLDTCH021A,TSECNPM,Teste operativo (CNL) CH-11K6,MT-S-42605-DL11-CH-11K6,18/2/2025,18/2/2025,,2200238897,2200238897,TDET
TCNLDTCH022A,TSECNPM,Teste operativo (CNL) CH-12K3,MT-S-42605-DL12-CH-12K3,18/2/2025,18/2/2025,,2200238898,2200238898,TDET
TCNLDTCH023A,TSECNPM,Teste operativo (CNL) CH-12K5_5T,MT-S-42605-DL12-CH-12K5_5T,18/2/2025,18/2/2025,,2200238899,2200238899,TDET
TCNLDTCH024A,TSECNPM,Teste operativo (CNL) CH-12K6,MT-S-42605-DL12-CH-12K6,18/2/2025,18/2/2025,,2200238900,2200238900,TDET
TCNLDTDJ007A,TSECNPM,Teste operativo (CNL) DJ-11K4,MT-S-42605-DL11-DJ-11K4,18/2/2025,18/2/2025,,2200251354,2200251354,TDET
TIIGDTDJ008A,TLEIPPM,Teste operativo (IIG) DJ-9M4,MT-S-41401-FL09-DJ-9M4,19/2/2025,19/2/2025,,2200251442,2200251442,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,19/2/2025,19/2/2025,,2200265931,2200265931,TDET
TUEMDTCH006A,TTAEMPM,Teste operativo (UEM) CH-4K1,MT-S-41103-DL04-CH-4K1,20/2/2025,10/2/2025,,2200238913,2200238913,TDET
TUEMDTCH007A,TTAEMPM,Teste operativo (UEM) CH-4K2,MT-S-41103-DL04-CH-4K2,20/2/2025,10/2/2025,,2200238914,2200238914,TDET
TUEMDTCH008A,TTAEMPM,Teste operativo (UEM) CH-4K3,MT-S-41103-DL04-CH-4K3,20/2/2025,10/2/2025,,2200238915,2200238915,TDET
TUEMDTCH009A,TTAEMPM,Teste operativo (UEM) CH-4K5,MT-S-41103-DL04-CH-4K5,20/2/2025,10/2/2025,,2200238916,2200238916,TDET
TUEMDTCH010A,TTAEMPM,Teste operativo (UEM) CH-4K6_6T,MT-S-41103-DL04-CH-4K6_6T,20/2/2025,10/2/2025,,2200238917,2200238917,TDET
TUEMDTDJ013A,TTAEMPM,Teste operativo (UEM) DJ-9U4,MT-S-41103-FT10-DJ-9U4,20/2/2025,20/2/2025,,2200251488,2200251488,TDET
TBDPDTDJ003A,TTABDPM,Teste operativo (BDP) DJ-6U4,MT-S-70113-FL06-DJ-6U4,20/2/2025,20/2/2025,,2200251454,2200251454,TDET
TBC3DTDJ006A,TLEIBPM,Teste operativo (BC3) DJ-5M4,MT-S-44302-FM05-DJ-5M4,20/2/2025,20/2/2025,,2200251452,2200251452,TDET
TBRRDTDJ014A,TCNBRPM,Teste operativo (BRR) DJ-6P4,MT-S-41206-FC01-DJ-6P4,20/2/2025,20/2/2025,,2200251455,2200251455,TDET
TCSNDTGM001A,TLEGVPM,Teste operativo (CSN) GM-1,MT-S-74102-INCA-GM-1,20/2/2025,20/2/2025,,2200264085,2200264085,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,21/2/2025,21/2/2025,,2200266135,2200266135,TDET
TIJADTGM001A,TSEIJPM,Teste operativo (IJA) GM-1,MT-S-40313-INCA-GM-1,22/2/2025,24/2/2025,,2200265104,2200265104,TDET
TBRRDTGM001A,TCNBRPM,Teste operativo (BRR) GM-1,MT-S-41206-INCA-GM-1,22/2/2025,24/2/2025,,2200265103,2200265103,TDET
TBRNDTGM000A,TLEMQPM,Teste operativo (BRN) GM-1,MT-S-70250-INCA-GM-1,22/2/2025,24/2/2025,,2200265102,2200265102,TDET
TUTMDTGM001A,TNTTMPM,Teste operativo (UTM) GM-1,MT-S-41211-INCA-GM-1,23/2/2025,24/2/2025,,2200265132,2200265132,TDET
TGVSDTDJ029A,TLEGVPM,Teste operativo (GVS) DJ-6M4,MT-S-43604-FL06-DJ-6M4,24/2/2025,24/2/2025,,2200251875,2200251875,TDET
TIIGDTDJ002A,TLEIPPM,Teste operativo (IIG) DJ-2K4,MT-S-41401-DL02-DJ-2K4,24/2/2025,24/2/2025,,2200251876,2200251876,TDET
TGVSDTDJ016A,TLEGVPM,Teste operativo (GVS) DJ-5K4,MT-S-43604-DL05-DJ-5K4,24/2/2025,24/2/2025,,2200251874,2200251874,TDET
TBDPDTGM001A,TTABDPM,Teste operativo (BDP) GM-2,MT-S-70113-FE01-GM-2,26/2/2025,26/2/2025,,2200265513,2200265513,TDET
TBDPDTGM002A,TTABDPM,Teste operativo (BDP) GM-1,MT-S-70113-INCA-GM-1,26/2/2025,26/2/2025,,2200265514,2200265514,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,26/2/2025,26/2/2025,,2200265931,,TDET
TVZPDTGM001A,TNTVPPM,Teste operativo (VZP) GM-1,MT-S-72110-INCA-GM-1,27/2/2025,27/2/2025,,2200265757,2200265757,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,28/2/2025,28/2/2025,,2200266135,,TDET
TVPNDTGM001A,TCNVEPM,Teste operativo (VPN) GM-1,MT-S-41104-INCA-GM-1,28/2/2025,28/2/2025,,3200021763,3200021763,TPSV
TORPDTCH015A,TSEOPPM,Teste operativo (ORP) CH-10K5_5T,MT-S-42507-DL10-CH-10K5_5T,1/3/2025,3/3/2025,,2200239580,2200239580,TDET
TORPDTCH023A,TSEOPPM,Teste operativo (ORP) CH-12K5_5T,MT-S-42507-DL12-CH-12K5_5T,1/3/2025,3/3/2025,,2200239581,2200239581,TDET
TNLSDTCH013A,TSEOPPM,Teste operativo (NLS) CH-4PT1,MT-S-70178-FT01-CH-4PT1,1/3/2025,3/3/2025,,3200019836,3200019836,TPSV
TTQLDTDJ009A,TCNTQPM,Teste operativo (TQL) DJ-13K4,MT-S-41202-DL13-DJ-13K4,1/3/2025,3/3/2025,,2200252274,2200252274,TDET
TTQLDTDJ039A,TCNTQPM,Teste operativo (TQL) DJ-71K4,MT-S-41202-DC10-DJ-71K4,1/3/2025,3/3/2025,,2200252275,2200252275,TDET
TJMQDTGM000A,TLEIBPM,Teste operativo (JMQ) GM-1,MT-S-70148-INCA-GM-1,1/3/2025,3/3/2025,,2200265825,2200265825,TDET
TIBADTDJ008A,TLEIBPM,Teste operativo (IBA) DJ-3M4,MT-S-42503-FL03-DJ-3M4,2/3/2025,3/3/2025,,2200252282,2200252282,TDET
TTQLDTDJ021A,TCNTQPM,Teste operativo (TQL) DJ-7M4,MT-S-41202-FL57-DJ-7M4,2/3/2025,3/3/2025,,2200252302,2200252302,TDET
TBDPDTDJ011A,TTABDPM,Teste operativo (BDP) DJ-10U4,MT-S-70113-FM10-DJ-10U4,2/3/2025,3/3/2025,,2200252279,2200252279,TDET
TRBSDTDJ014A,TCNRBPM,Teste operativo (RBS) DJ-18K4,MT-S-41203-DL18-DJ-18K4,2/3/2025,3/3/2025,,2200252289,2200252289,TDET
TSGPDTDJ000A,TCNSGPM,Teste operativo (SGP) DJ-17K4,MT-S-41107-DL17-DJ-17K4,2/3/2025,3/3/2025,,2200252291,2200252291,TDET
TMCLDTGM000A,TNTMCPM,Teste operativo (MCL) GM-1,MT-S-41209-INCA-GM-1,2/3/2025,3/3/2025,,2200265836,2200265836,TDET
TMQTDTGM001A,TLEMQPM,Teste operativo (MQT) GM-1,MT-S-41102-INCA-GM-1,2/3/2025,3/3/2025,,2200265838,2200265838,TDET
TUEMDTGM001A,TTAEMPM,Teste operativo (UEM) GM-1,MT-S-41103-INCA-GM-1,4/3/2025,4/3/2025,,2200264858,,TDET
TUJGDTGM001A,TTAJGPM,Teste operativo (UJG) GM-1,MT-S-41101-INCA-GM-1,4/3/2025,4/3/2025,,2200264941,,TDET
TCNLDTDJ021A,TSECNPM,Teste operativo (CNL) DJ-1P4,MT-S-42605-FT06-DJ-1P4,5/3/2025,6/3/2025,,2200252457,2200252457,TDET
TCNLDTDJ016A,TSECNPM,Teste operativo (CNL) DJ-2P4,MT-S-42605-FL02-DJ-2P4,5/3/2025,6/3/2025,,2200252456,2200252456,TDET
TUSSDTGM000A,TTASSPM,Teste operativo (USS) GM-1,MT-S-41150-INCA-GM-1,5/3/2025,6/3/2025,,2200265955,2200265955,TDET
TJFADTGM000A,TSEJFPM,Teste operativo (JFA) INFR-GM-1,MT-S-71113-INFR-GM-1,5/3/2025,6/3/2025,,2200265950,2200265950,TDET
TSLQDTGM001A,TCNSLPM,Teste operativo (SLQ) GM-1,MT-S-70214-INCA-GM-1,5/3/2025,5/3/2025,,2200265931,,TDET
TSGPDTDJ018A,TCNSGPM,Teste operativo (SGP) DJ-12K4,MT-S-41107-FT02-DJ-12K4,6/3/2025,6/3/2025,,2200252516,2200252516,TDET
TUJGDTDJ035A,TTAJGPM,Teste operativo (UJG) DJ-76F4,MT-S-41210-INCA-DJ-76F4,6/3/2025,6/3/2025,,2200252544,2200252544,TDET
TUJGDTDJ036A,TTAJGPM,Teste operativo (UJG) DJ-79F4,MT-S-41210-INCA-DJ-79F4,6/3/2025,6/3/2025,,2200252545,2200252545,TDET
TSGPDTDJ013A,TCNSGPM,Teste operativo (SGP) DJ-5U4,MT-S-41107-FT02-DJ-5U4,6/3/2025,6/3/2025,,2200252514,2200252514,TDET
TTQLDTDJ037A,TCNTQPM,Teste operativo (TQL) DJ-15K4,MT-S-41202-DC10-DJ-15K4,6/3/2025,6/3/2025,,2200252541,2200252541,TDET
TBCADTGM000A,TSEBAPM,Teste operativo (BCA) GM-01,MT-S-41205-INCA-GM-01,6/3/2025,6/3/2025,,2200265959,2200265959,TDET
TBRRDTDJ007A,TCNBRPM,Teste operativo (BRR) DJ-16K4,MT-S-41206-DL16-DJ-16K4,7/3/2025,7/3/2025,,2200252555,2200252555,TDET
TRBSDTGM001A,TCNRBPM,Teste operativo (RBS) GM-1,MT-S-41203-INCA-GM-1,7/3/2025,7/3/2025,,2200266135,,TDET
TIUGDTGM000A,TSEBAPM,Teste operativo (IUG) GM-01,MT-S-41207-INCA-GM-01,7/3/2025,7/3/2025,,2200266123,2200266123,TDET
TUNPDTCH021A,TTANPPM,Teste operativo (UNP) CH-14U5,MT-S-40327-FM14-CH-14U5,8/3/2025,10/3/2025,,2200240065,2200240065,TDET
TUNPDTCH020A,TTANPPM,Teste operativo (UNP) CH-14U3,MT-S-40327-FM14-CH-14U3,8/3/2025,10/3/2025,,2200240064,2200240064,TDET
TBRRDTDJ034A,TCNBRPM,Teste operativo (BRR) DJ-5K4,MT-S-41206-DL05-DJ-5K4,8/3/2025,10/3/2025,,2200252637,2200252637,TDET
TUNPDTGM001A,TTANPPM,Teste operativo (UNP) GM-1,MT-S-40327-INCA-GM-1,8/3/2025,10/3/2025,,2200266217,2200266217,TDET
TBC3DTGM001A,TLEIBPM,Teste operativo (BC3) GM-1,MT-S-44302-INCA-GM-1,8/3/2025,10/3/2025,,2200265880,2200265880,TDET
TMCLDTRL003A,TNTMCPM,Teste operativo (MCL) RL-200F4,MT-S-41209-DD00-RL-200F4,9/3/2025,10/3/2025,,2200252690,2200252690,TPSC
TMCLDTRL004A,TNTMCPM,Teste operativo (MCL) RL-201F4,MT-S-41209-DD01-RL-201F4,9/3/2025,10/3/2025,,2200262104,2200262104,TPSC
TBCADTCH070A,TSEBAPM,Teste operativo (BCA) CH-206F3_VM,MT-S-41205-DD06-CH-206F3_VM,9/3/2025,10/3/2025,,2200240071,2200240071,TDET
TBCADTCH071A,TSEBAPM,Teste operativo (BCA) CH-206F3_AZ,MT-S-41205-DD06-CH-206F3_AZ,9/3/2025,10/3/2025,,2200240072,2200240072,TDET
TBCADTCH072A,TSEBAPM,Teste operativo (BCA) CH-206F3_BR,MT-S-41205-DD06-CH-206F3_BR,9/3/2025,10/3/2025,,2200240073,2200240073,TDET
TBCADTCH073A,TSEBAPM,Teste operativo (BCA) CH-206F5_VM,MT-S-41205-DD06-CH-206F5_VM,9/3/2025,10/3/2025,,2200240074,2200240074,TDET
TBCADTCH074A,TSEBAPM,Teste operativo (BCA) CH-206F5_AZ,MT-S-41205-DD06-CH-206F5_AZ,9/3/2025,10/3/2025,,2200240075,2200240075,TDET
TBCADTCH075A,TSEBAPM,Teste operativo (BCA) CH-206F5_BR,MT-S-41205-DD06-CH-206F5_BR,9/3/2025,10/3/2025,,2200240076,2200240076,TDET
TBCADTCH076A,TSEBAPM,Teste operativo (BCA) CH-208F3_VM,MT-S-41205-DD08-CH-208F3_VM,9/3/2025,10/3/2025,,2200240077,2200240077,TDET
TBCADTCH077A,TSEBAPM,Teste operativo (BCA) CH-208F3_AZ,MT-S-41205-DD08-CH-208F3_AZ,9/3/2025,10/3/2025,,2200240078,2200240078,TDET
TBCADTCH078A,TSEBAPM,Teste operativo (BCA) CH-208F3_BR,MT-S-41205-DD08-CH-208F3_BR,9/3/2025,10/3/2025,,2200240079,2200240079,TDET
TBCADTCH079A,TSEBAPM,Teste operativo (BCA) CH-208F5_VM,MT-S-41205-DD08-CH-208F5_VM,9/3/2025,10/3/2025,,2200240080,2200240080,TDET
TBCADTCH080A,TSEBAPM,Teste operativo (BCA) CH-208F5_AZ,MT-S-41205-DD08-CH-208F5_AZ,9/3/2025,10/3/2025,,2200240081,2200240081,TDET
TBCADTCH081A,TSEBAPM,Teste operativo (BCA) CH-208F5_BR,MT-S-41205-DD08-CH-208F5_BR,9/3/2025,10/3/2025,,2200240082,2200240082,TDET
